Recency,Frequency,Monetary,Cluster,Segment
131,5,16205,1,Regular Shoppers
2,20,194780,0,Loyal Customers
278,1,1299,2,Churned Customers
57,10,41201,1,Regular Shoppers
25,30,144420,0,Loyal Customers
57,4,29296,1,Regular Shoppers
512,2,33498,2,Churned Customers
13,6,19444,1,Regular Shoppers
16,5,59295,1,Regular Shoppers
255,1,149,2,Churned Customers
113,6,71200,1,Regular Shoppers
77,5,41295,1,Regular Shoppers
348,1,1499,2,Churned Customers
149,14,92636,3,Potential High-Value
276,5,10295,2,Churned Customers
608,1,999,2,Churned Customers
15,7,61493,1,Regular Shoppers
690,1,36999,2,Churned Customers
2,10,40356,1,Regular Shoppers
184,3,12597,1,Regular Shoppers
96,7,39493,1,Regular Shoppers
9,12,166444,3,Potential High-Value
34,14,127786,3,Potential High-Value
18,7,11493,1,Regular Shoppers
18,9,22881,1,Regular Shoppers
64,3,3707,1,Regular Shoppers
300,3,9797,2,Churned Customers
338,1,6999,2,Churned Customers
22,7,82049,3,Potential High-Value
11,23,202687,0,Loyal Customers
77,7,44193,1,Regular Shoppers
154,7,55993,1,Regular Shoppers
22,5,23201,1,Regular Shoppers
359,6,84094,2,Churned Customers
18,2,6998,1,Regular Shoppers
10,9,118591,3,Potential High-Value
298,4,5646,2,Churned Customers
22,4,151996,3,Potential High-Value
61,10,93840,3,Potential High-Value
189,5,9845,1,Regular Shoppers
47,9,43002,1,Regular Shoppers
4,30,319836,0,Loyal Customers
15,17,218434,0,Loyal Customers
82,7,203893,3,Potential High-Value
72,6,16094,1,Regular Shoppers
38,9,129991,3,Potential High-Value
77,8,71892,1,Regular Shoppers
202,9,25691,1,Regular Shoppers
707,1,1999,2,Churned Customers
18,9,58891,1,Regular Shoppers
41,22,195128,0,Loyal Customers
564,2,1098,2,Churned Customers
24,7,101473,3,Potential High-Value
48,8,61442,1,Regular Shoppers
494,1,999,2,Churned Customers
526,2,10178,2,Churned Customers
36,19,133403,3,Potential High-Value
599,1,4999,2,Churned Customers
82,10,30761,1,Regular Shoppers
670,1,1499,2,Churned Customers
67,8,112442,3,Potential High-Value
45,23,200287,0,Loyal Customers
206,5,9095,1,Regular Shoppers
127,6,3474,1,Regular Shoppers
19,5,67395,1,Regular Shoppers
97,10,56090,1,Regular Shoppers
34,20,138830,3,Potential High-Value
26,10,77690,3,Potential High-Value
18,7,168854,3,Potential High-Value
87,6,40694,1,Regular Shoppers
7,18,172932,3,Potential High-Value
117,7,67993,1,Regular Shoppers
34,9,72491,3,Potential High-Value
44,18,121682,3,Potential High-Value
